0.85 100 100 1.0
0.84 100 100 1.0
0.83 100 100 1.0
0.82 100 100 1.0
0.81 100 100 1.0
0.80 100 100 1.0
0.79 100 100 1.0
0.78 100 100 1.0
0.77 100 100 1.0
0.76 100 100 1.0
0.75 100 100 1.0
0.74 100 100 1.0
0.73 100 100 1.0
0.72 100 100 1.0
0.71 100 100 1.0
0.70 100 100 1.0
0.69 100 100 1.0
0.68 100 100 1.0
0.67 100 100 1.0
0.66 100 100 1.0
0.65 100 100 1.0
0.64 100 100 1.0
0.63 100 100 1.0
0.62 100 100 1.0
0.61 100 100 1.0
0.60 36 100 0.36
0.59 23 100 0.23
0.58 24 100 0.24
0.57 11 100 0.11
0.56 9 100 0.09
0.55 8 100 0.08
